Law Name,Country,Image,Type of Law,Law ID,Promulgated,Most Recent Amendment,Original Law,Translation Available,Translation
Constitution,Iraq,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Iraq.png,Constitution,,2005,,http://www.krp.org/uploadedforms/IraqConstitutionA.pdf,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9bmdPbjM4TG1hZG8&authuser=1
Constitution,Palestine,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Palestine.png,Constitution,,2003,,https://drive.google.com/file/d/0B5CY0qNNVULxWk1vbnByRWUzNEU/view?usp=sharing,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9bU5TMkZTQWl6bXc&authuser=1
Constitution,Bahrain,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Bahrain.png,Constitution,,2002,,https://drive.google.com/file/d/0B5CY0qNNVULxNmV3YURvZC1JTHc/view?usp=sharing,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9d2FxRlE0eUw0SDg&authuser=1
Constitution,Jordan,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Jordan.png,Constitution,,1928,2014,http://www.factjo.com/pages/newsdetails.aspx?id=3541,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9MFg4TTFaZ05IWTg&authuser=1
Interim national constitution,Sudan,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Sudan.png,Constitution,,2005,,https://drive.google.com/file/d/0B5CY0qNNVULxYTlPdXpJaUdfazQ/view?usp=sharing,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9Nko1REhGR1lUNE0&authuser=1
Constitution,Morocco,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Morocco.png,Constitution,1.11.91,2011,,https://drive.google.com/a/smex.org/file/d/0B5CY0qNNVULxY3o5UmZxY0hULTA/view?usp=sharing,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9R09POVUzakJRTXc&authuser=1
Constitution,Lebanon,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Lebanon.png,Constitution,,1926,1995,http://www.presidency.gov.lb/Arabic/LebaneseSystem/Documents/%D8%A7%D9%84%D8%AF%D8%B3%D8%AA%D9%88%D8%B1%20%D8%A7%D9%84%D9%84%D8%A8%D9%86%D8%A7%D9%86%D9%8A.pdf,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9RDJwZXZ2dEV4T2M&authuser=1
Constitution,UAE,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_the_UAE.png,Constitution,1,1996,,https://drive.google.com/file/d/0B5CY0qNNVULxcmlrdTlLbEJlbDg/view?usp=sharing,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9S1BFeEVucEs2X1U&authuser=1
Constitution,Kuwait,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Kuwait.png,Constitution,1,1962,,http://www.wipo.int/edocs/lexdocs/laws/ar/kw/kw004ar.pdf,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9SlpRbGllN0lmX0U&authuser=1
Constitution,Algeria,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Algeria.png,Constitution,,1963,2008,https://drive.google.com/file/d/0B5CY0qNNVULxZTBwU2FyMHdERXc/view?usp=sharing,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9U0Q3ZEZ2dXV0eWc&authuser=1
Constitution,Mauritania,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Mauritania.png,Constitution,91 - 22,1991,2012,https://drive.google.com/file/d/0B5CY0qNNVULxTU9BWW9KTFdIU3M/view?usp=sharing,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9UEktNzhVWTdhOEE&authuser=1
Constitution,Yemen,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Yemen.png,Constitution,,1990,,https://drive.google.com/file/d/0B5CY0qNNVULxT3l4M1ZuTnV6bTQ/view?usp=sharing,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9UmtnYU01b2toYW8&authuser=1
